title,price,specs,link
Chevrolet Damas,15437,2026 ‧ 1.5 ‧ 10 km ‧ Слева ‧ Бишкек,https://mashina.kg/dealers/ads/chevrolet-damas-69f1841a26e13601840477
Chevrolet Damas,14866,2026 ‧ 1.5 ‧ 10 km ‧ Слева ‧ Бишкек,https://mashina.kg/dealers/ads/chevrolet-damas-69f1829bdd0be634986284
Chevrolet Tahoe V Рестайлинг 6.2 AT 4WD,106346,2026 ‧ внедорожник 5 дв. ‧ автомат ‧ 10 km ‧ Слева ‧ Бишкек,https://mashina.kg/dealers/ads/chevrolet-tahoe-69f17e085c5d1529736849
FAW СА3071РК2В,43000,2026 ‧ 1 km ‧ Слева ‧ Бишкек,https://mashina.kg/dealers/ads/faw-sa3071rk2v-69732622b50da234619371
FAW Самосвалы,44500,2026 ‧ 11 ‧ 1 km ‧ Слева ‧ Бишкек,https://mashina.kg/dealers/ads/faw-samosvaly-69731c3287722642265023
JAC N56,32000,2026 ‧ 2.7 ‧ 1 km ‧ Слева ‧ Бишкек,https://mashina.kg/dealers/ads/jac-n56-69730ad150958993153981
JAC T9 Hunter 2.0d AT 4WD,38000,2025 ‧ пикап двойная кабина ‧ автомат ‧ 1 km ‧ Слева ‧ Бишкек,https://mashina.kg/dealers/ads/jac-t9-hunter-6970ad82b3a46141664360
Toyota Land Cruiser 200 Series Рестайлинг 2 4.6 AT 4WD,73500,2019 ‧ 125000 km ‧ 4.6 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/toyota-land-cruiser-6a5603a5b24f25d5e146f467
BMW X3 III (G01) 20i xDrive 2.0 AT 4WD,21500,2020 ‧ 215000 km ‧ 2 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/bmw-x3-6a55da98d8a01ec3597a70eb
BMW X7 I (G07) 50i 4.4 AT 4WD,43500,2019 ‧ 113 km ‧ 4.4 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/bmw-x7-6a55c342a9a6919519191a24
BMW X7 I (G07) Рестайлинг 40i 3.0 AT 4WD,74500,2023 ‧ 87000 km ‧ 3 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/bmw-x7-6a2c234cd311fd5552d4a923
Kia Seltos I 1.6 AMT 4WD,13500,2019 ‧ 107000 km ‧ 1.6 ‧ робот ‧ Слева ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/kia-seltos-6a54f89672949950072ff9c2
BMW X6 III (G06) 40i 3.0 AT 4WD,59999,2020 ‧ 97000 km ‧ 3 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/bmw-x6-6a54d1a5781bfc75100bfae5
Toyota 4Runner V Рестайлинг 4.0 AT 4WD,29500,2020 ‧ 161000 km ‧ 4 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ Ош,https://mashina.kg/details/toyota-4runner-6a538df6c3f26ae9edcda192
Tank 300 I Рестайлинг 2.0 AT 4WD,48000,2025 ‧ 18000 km ‧ 2 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/tank-300-6a536ed494015386ac7ccd0a
BMW X7 I (G07) M50i 4.4 AT 4WD,67000,2021 ‧ 64000 km ‧ 4.4 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/bmw-x7-6a5367be4a0eac52def8a04d
BMW X7 I (G07) Рестайлинг M60i 4.4 AT 4WD,140000,2024 ‧ 35000 km ‧ 4.4 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/bmw-x7-6a5354f953831ecd7152f8fb
Toyota Camry VIII (XV70) 3.5 AT,25000,2018 ‧ 134000 км ‧ 3.5 ‧ автомат ‧ Слева ‧ седан ‧ Кочкор-Ата,https://mashina.kg/details/toyota-camry-6a526a2580eb3812de19ac5f
Toyota Camry VIII (XV70) Japan Market 2.5hyb CVT,24000,2019 ‧ 58000 km ‧ 2.5 ‧ автомат ‧ Слева ‧ седан ‧ Бишкек,https://mashina.kg/details/toyota-camry-6a522e274843c487f88b08e7
Mercedes-Benz M-Класс II (W164) 350 3.5 AT 4WD,8691,2005 ‧ 0 km ‧ 3.5 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/mercedes-benz-m-klass-6a4f7e483b457dbddf4059a8
SsangYong Rexton Sports I Khan 2.2d AT 4WD,16500,2020 ‧ 141000 km ‧ 2.2 ‧ автомат ‧ Слева ‧ пикап двойная кабина ‧ Бишкек,https://mashina.kg/details/ssangyong-rexton-sports-6a4e738f8f936095fe9cd6af
Tank 300 I Рестайлинг 2.0 AT 4WD,35000,2026 ‧ 12 км ‧ 2 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/tank-300-6a4e6cd81c8de27e19e66c3f
Toyota Land Cruiser Prado 90 Series 3.4 AT 4WD,12800,1998 ‧ 276485 км ‧ 3.4 ‧ автомат ‧ Справа ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/toyota-land-cruiser-prado-6a4b663266564468a6593bdf
Infiniti FX II (S51) FX50 5.0 AT 4WD,15000,2008 ‧ 230000 km ‧ 5 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/infiniti-fx-6a461a1ceb28901b2b3e12ff
Mitsubishi Pajero IV 3.0 AT 4WD,13722,2008 ‧ 163500 km ‧ 3 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ с. Джениш,https://mashina.kg/details/mitsubishi-pajero-6a44fef0b2afadf36a804dc7
Mercedes-Benz GLE II (V167) Рестайлинг 350 2.0 AT 4WD,105000,2026 ‧ 30 km ‧ 2 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/mercedes-benz-gle-6a4243e0d3f86af3195a58df
Toyota 4Runner V Рестайлинг 4.0 AT 4WD,37500,2019 ‧ 65000 km ‧ 4 ‧ автомат ‧ Слева ‧ внедорожник 5 дв. ‧ Бишкек,https://mashina.kg/details/toyota-4runner-6a413aad5ff7596fc2b0f3f9
Honda Civic VIII Рестайлинг Hybrid 1.3hyb CVT,6800,2011 ‧ 189000 km ‧ 1.3 ‧ вариатор ‧ Слева ‧ седан ‧ Бишкек,https://mashina.kg/details/honda-civic-6a40b305a9589f7c4fc6e18d
